"HGCN"	"ensembl"
"CRTC1"	"ENSG00000105662"
"COMP"	"ENSG00000105664"
"UPK1A"	"ENSG00000105668"
"COPE"	"ENSG00000105669"
"DDX49"	"ENSG00000105671"
"ETV2"	"ENSG00000105672"
"ARMC6"	"ENSG00000105676"
"TMEM147"	"ENSG00000105677"
"HAMP"	"ENSG00000105697"
"USF2"	"ENSG00000105698"
"LSR"	"ENSG00000105699"
"KXD1"	"ENSG00000105700"
"FKBP8"	"ENSG00000105701"
"SUGP1"	"ENSG00000105705"
"HPN"	"ENSG00000105707"
"ZNF14"	"ENSG00000105708"
"SCN1B"	"ENSG00000105711"
"ERF"	"ENSG00000105722"
"GSK3A"	"ENSG00000105723"
"ATP13A1"	"ENSG00000105726"
"ZNF574"	"ENSG00000105732"
"GRIK5"	"ENSG00000105737"
"SIPA1L3"	"ENSG00000105738"
"ZNF85"	"ENSG00000105750"
"ETHE1"	"ENSG00000105755"
"SMG9"	"ENSG00000105771"
"AVL9"	"ENSG00000105778"
"RUNDC3B"	"ENSG00000105784"
"CFAP69"	"ENSG00000105792"
"GTPBP10"	"ENSG00000105793"
"RASA4"	"ENSG00000105808"
"CDK6"	"ENSG00000105810"
"PMPCB"	"ENSG00000105819"
"DNAJC2"	"ENSG00000105821"
"BET1"	"ENSG00000105829"
"NAMPT"	"ENSG00000105835"
"POLR1F"	"ENSG00000105849"
"PIK3CG"	"ENSG00000105851"
"PON3"	"ENSG00000105852"
"PON2"	"ENSG00000105854"
"ITGB8"	"ENSG00000105855"
"HBP1"	"ENSG00000105856"
"DUS4L"	"ENSG00000105865"
"SP4"	"ENSG00000105866"
"WDR91"	"ENSG00000105875"
"DNAH11"	"ENSG00000105877"
"CBLL1"	"ENSG00000105879"
"MTPN"	"ENSG00000105887"
"MPP6"	"ENSG00000105926"
"GSDME"	"ENSG00000105928"
"ZC3HAV1"	"ENSG00000105939"
"TTC26"	"ENSG00000105948"
"OGDH"	"ENSG00000105953"
"ADAP1"	"ENSG00000105963"
"TFEC"	"ENSG00000105967"
"H2AZ2"	"ENSG00000105968"
"CAV2"	"ENSG00000105971"
"CAV1"	"ENSG00000105974"
"MET"	"ENSG00000105976"
"RNF32"	"ENSG00000105982"
"LMBR1"	"ENSG00000105983"
"NHP2P1"	"ENSG00000105988"
"DNAJB6"	"ENSG00000105993"
"HOXA3"	"ENSG00000105997"
"LFNG"	"ENSG00000106003"
"HOXA5"	"ENSG00000106004"
"HOXA6"	"ENSG00000106006"
"BRAT1"	"ENSG00000106009"
"IQCE"	"ENSG00000106012"
"ANKRD7"	"ENSG00000106013"
"VIPR2"	"ENSG00000106018"
"SSBP1"	"ENSG00000106028"
"CPED1"	"ENSG00000106034"
"HIBADH"	"ENSG00000106049"
"TAX1BP1"	"ENSG00000106052"
"CPVL"	"ENSG00000106066"
"CHN2"	"ENSG00000106069"
"GRB10"	"ENSG00000106070"
"ABHD11"	"ENSG00000106077"
"COBL"	"ENSG00000106078"
"FKBP14"	"ENSG00000106080"
"PLEKHA8"	"ENSG00000106086"
"NOD1"	"ENSG00000106100"
"GARS1"	"ENSG00000106105"
"CRHR2"	"ENSG00000106113"
"EPHB6"	"ENSG00000106123"
"MINDY4"	"ENSG00000106125"
"NSUN5P2"	"ENSG00000106133"
"CASP2"	"ENSG00000106144"
"CHCHD2"	"ENSG00000106153"
"HSPB1"	"ENSG00000106211"
"PDAP1"	"ENSG00000106244"
"BUD31"	"ENSG00000106245"
"PTCD1"	"ENSG00000106246"
"CYP3A5"	"ENSG00000106258"
"ZKSCAN1"	"ENSG00000106261"
"EIF3B"	"ENSG00000106263"
"SNX8"	"ENSG00000106266"
"NUDT1"	"ENSG00000106268"
"PTPRZ1"	"ENSG00000106278"
"TAF6"	"ENSG00000106290"
"WASL"	"ENSG00000106299"
"HYAL4"	"ENSG00000106302"
"AIMP2"	"ENSG00000106305"
"TFR2"	"ENSG00000106327"
"FSCN3"	"ENSG00000106328"
"MOSPD3"	"ENSG00000106330"
"PAX4"	"ENSG00000106331"
"PCOLCE"	"ENSG00000106333"
"FBXO24"	"ENSG00000106336"
"RBM28"	"ENSG00000106344"
"USP42"	"ENSG00000106346"
"IMPDH1"	"ENSG00000106348"
"AGFG2"	"ENSG00000106351"
"LSM5"	"ENSG00000106355"
"SERPINE1"	"ENSG00000106366"
"MOGAT3"	"ENSG00000106384"
"C1GALT1"	"ENSG00000106392"
"PLOD3"	"ENSG00000106397"
"RPA3"	"ENSG00000106399"
"ZNHIT1"	"ENSG00000106400"
"CLDN15"	"ENSG00000106404"
"GLCCI1"	"ENSG00000106415"
"MYL10"	"ENSG00000106436"
"PHF14"	"ENSG00000106443"
"NRF1"	"ENSG00000106459"
"TMEM106B"	"ENSG00000106460"
"EZH2"	"ENSG00000106462"
"CEP41"	"ENSG00000106477"
"ZNF862"	"ENSG00000106479"
"SFRP4"	"ENSG00000106483"
"MEST"	"ENSG00000106484"
"ANKMY2"	"ENSG00000106524"
"ACTR3C"	"ENSG00000106526"
"POU6F2"	"ENSG00000106536"
"TSPAN13"	"ENSG00000106537"
"AHR"	"ENSG00000106546"
"CHCHD3"	"ENSG00000106554"
"GIMAP2"	"ENSG00000106560"
"TMEM176B"	"ENSG00000106565"
"GLI3"	"ENSG00000106571"
"PSMA2"	"ENSG00000106588"
"MRPL32"	"ENSG00000106591"
"COA1"	"ENSG00000106603"
"BLVRA"	"ENSG00000106605"
"URGCP"	"ENSG00000106608"
"TMEM248"	"ENSG00000106609"
"STAG3L4"	"ENSG00000106610"
"RHEB"	"ENSG00000106615"
"PRKAG2"	"ENSG00000106617"
"AEBP1"	"ENSG00000106624"
"POLD2"	"ENSG00000106628"
"GCK"	"ENSG00000106633"
"BCL7B"	"ENSG00000106635"
"YKT6"	"ENSG00000106636"
"TBL2"	"ENSG00000106638"
"GALNTL5"	"ENSG00000106648"
"CLIP2"	"ENSG00000106665"
"EIF4H"	"ENSG00000106682"
"LIMK1"	"ENSG00000106683"
"SPATA6L"	"ENSG00000106686"
"FKTN"	"ENSG00000106692"
"FSD1L"	"ENSG00000106701"
"CNTNAP3"	"ENSG00000106714"
"SPIN1"	"ENSG00000106723"
"NMRK1"	"ENSG00000106733"
"TMEM245"	"ENSG00000106771"
"PRUNE2"	"ENSG00000106772"
"MEGF9"	"ENSG00000106780"
"TRIM14"	"ENSG00000106785"
"CORO2A"	"ENSG00000106789"
"TGFBR1"	"ENSG00000106799"
"SEC61B"	"ENSG00000106803"
"C5"	"ENSG00000106804"
"OGN"	"ENSG00000106809"
"ASPN"	"ENSG00000106819"
"ECM2"	"ENSG00000106823"
"TLE4"	"ENSG00000106829"
"LHX6"	"ENSG00000106852"
"PTGR1"	"ENSG00000106853"
"SUSD1"	"ENSG00000106868"
"AKNA"	"ENSG00000106948"
"TNFSF8"	"ENSG00000106952"
"DNM1"	"ENSG00000106976"
"ENG"	"ENSG00000106991"
"AK1"	"ENSG00000106992"
"CDC37L1"	"ENSG00000106993"
"PLGRKT"	"ENSG00000107020"
"TBC1D13"	"ENSG00000107021"
"RIC1"	"ENSG00000107036"
"KDM4C"	"ENSG00000107077"
"DOCK8"	"ENSG00000107099"
"KANK1"	"ENSG00000107104"
"ELAVL2"	"ENSG00000107105"
"NCS1"	"ENSG00000107130"
"TESK1"	"ENSG00000107140"
"KCNT1"	"ENSG00000107147"
"FUBP3"	"ENSG00000107164"
"CREB3"	"ENSG00000107175"
"RGP1"	"ENSG00000107185"
"MPDZ"	"ENSG00000107186"
"DDX58"	"ENSG00000107201"
"EDF1"	"ENSG00000107223"
"PIP5K1B"	"ENSG00000107242"
"BAG1"	"ENSG00000107262"
"RAPGEF1"	"ENSG00000107263"
"NPDC1"	"ENSG00000107281"
"APBA1"	"ENSG00000107282"
"SETX"	"ENSG00000107290"
"PTGDS"	"ENSG00000107317"
"ABCA2"	"ENSG00000107331"
"SHB"	"ENSG00000107338"
"UBE2R2"	"ENSG00000107341"
"ABHD17B"	"ENSG00000107362"
"EXOSC3"	"ENSG00000107371"
"ZFAND5"	"ENSG00000107372"
"DVL1"	"ENSG00000107404"
"PDLIM1"	"ENSG00000107438"
"CCNJ"	"ENSG00000107443"
"DNTT"	"ENSG00000107447"
"GATA3"	"ENSG00000107485"
"ATRNL1"	"ENSG00000107518"
"HPS1"	"ENSG00000107521"
"PHYH"	"ENSG00000107537"
"RASSF4"	"ENSG00000107551"
"DNMBP"	"ENSG00000107554"
"RAB11FIP2"	"ENSG00000107560"
"ERLIN1"	"ENSG00000107566"
"EIF3A"	"ENSG00000107581"
"CUBN"	"ENSG00000107611"
"TRDMT1"	"ENSG00000107614"
"DDX50"	"ENSG00000107625"
"MAPK8"	"ENSG00000107643"
"SEC23IP"	"ENSG00000107651"
"ATE1"	"ENSG00000107669"
"NSMCE4A"	"ENSG00000107672"
"PLEKHA1"	"ENSG00000107679"
"PALD1"	"ENSG00000107719"
"UNC5B"	"ENSG00000107731"
"CDH23"	"ENSG00000107736"
"VSIR"	"ENSG00000107738"
"SPOCK2"	"ENSG00000107742"
"MICU1"	"ENSG00000107745"
"PPP3CB"	"ENSG00000107758"
"CCSER2"	"ENSG00000107771"
"BMPR1A"	"ENSG00000107779"
"MINPP1"	"ENSG00000107789"
"ACTA2"	"ENSG00000107796"
"LIPA"	"ENSG00000107798"
"TWNK"	"ENSG00000107815"
"LZTS2"	"ENSG00000107816"
"SFXN3"	"ENSG00000107819"
"FBXW4"	"ENSG00000107829"
"FGF8"	"ENSG00000107831"
"NPM3"	"ENSG00000107833"
"TNKS2"	"ENSG00000107854"
"GBF1"	"ENSG00000107862"
"ARHGAP21"	"ENSG00000107863"
"CPEB3"	"ENSG00000107864"
"FBXL15"	"ENSG00000107872"
"CUEDC2"	"ENSG00000107874"
"SUFU"	"ENSG00000107882"
"ANKRD26"	"ENSG00000107890"
"ACBD5"	"ENSG00000107897"
"LHPP"	"ENSG00000107902"
"LARP4B"	"ENSG00000107929"
"GTPBP4"	"ENSG00000107937"
"EDRF1"	"ENSG00000107938"
"BCCIP"	"ENSG00000107949"
"MTPAP"	"ENSG00000107951"
"NEURL1"	"ENSG00000107954"
"SH3PXD2A"	"ENSG00000107957"
"PITRM1"	"ENSG00000107959"
"STN1"	"ENSG00000107960"
"MAP3K8"	"ENSG00000107968"
"GLRX3"	"ENSG00000108010"
"SORCS1"	"ENSG00000108018"
"TASOR2"	"ENSG00000108021"
"XPNPEP1"	"ENSG00000108039"
"SMC3"	"ENSG00000108055"
"SHOC2"	"ENSG00000108061"
"TFAM"	"ENSG00000108064"
"CCDC6"	"ENSG00000108091"
"CUL2"	"ENSG00000108094"
"CCNY"	"ENSG00000108100"
"UBE2S"	"ENSG00000108106"
"RPL28"	"ENSG00000108107"
"ZMIZ1"	"ENSG00000108175"
"DNAJC12"	"ENSG00000108176"
"PPIF"	"ENSG00000108179"
"PBLD"	"ENSG00000108187"
"TSPAN14"	"ENSG00000108219"
"LGI1"	"ENSG00000108231"
"TBC1D12"	"ENSG00000108239"
"NUFIP2"	"ENSG00000108256"
"GIT1"	"ENSG00000108262"
"RPL19"	"ENSG00000108298"
"FBXL20"	"ENSG00000108306"
"RUNDC3A"	"ENSG00000108309"
"UBTF"	"ENSG00000108312"
"PSMD3"	"ENSG00000108344"
"CASC3"	"ENSG00000108349"
"RAPGEFL1"	"ENSG00000108352"
"RGS9"	"ENSG00000108370"
"RNF43"	"ENSG00000108375"
"WNT3"	"ENSG00000108379"
"ASPA"	"ENSG00000108381"
"RAD51C"	"ENSG00000108384"
"SEPTIN4"	"ENSG00000108387"
"MTMR4"	"ENSG00000108389"
"TRIM37"	"ENSG00000108395"
"P2RX1"	"ENSG00000108405"
"DHX40"	"ENSG00000108406"
"TUBD1"	"ENSG00000108423"
"KPNB1"	"ENSG00000108424"
"GOSR2"	"ENSG00000108433"
"PNPO"	"ENSG00000108439"
"RPS6KB1"	"ENSG00000108443"
"TRIM16L"	"ENSG00000108448"
"CDK5RAP3"	"ENSG00000108465"
"CBX1"	"ENSG00000108468"
"RECQL5"	"ENSG00000108469"
"PIGL"	"ENSG00000108474"
"GALK1"	"ENSG00000108479"
"INTS2"	"ENSG00000108506"
"CAMTA2"	"ENSG00000108509"
"MED13"	"ENSG00000108510"
"HOXB6"	"ENSG00000108511"
"ENO3"	"ENSG00000108515"
"PFN1"	"ENSG00000108518"
"RNF167"	"ENSG00000108523"
"SLC25A11"	"ENSG00000108528"
"RASD1"	"ENSG00000108551"
"RAI1"	"ENSG00000108557"
"NUP88"	"ENSG00000108559"
"C1QBP"	"ENSG00000108561"
"SLC6A4"	"ENSG00000108576"
"BLMH"	"ENSG00000108578"
"CPD"	"ENSG00000108582"
"GOSR1"	"ENSG00000108587"
"CCDC47"	"ENSG00000108588"
"MED31"	"ENSG00000108590"
"DRG2"	"ENSG00000108591"
"FTSJ3"	"ENSG00000108592"
"AKAP10"	"ENSG00000108599"
"SMARCD2"	"ENSG00000108604"
"ICAM2"	"ENSG00000108622"
"SYNGR2"	"ENSG00000108639"
"B9D1"	"ENSG00000108641"
"UTP6"	"ENSG00000108651"
"DDX5"	"ENSG00000108654"
"C17orf75"	"ENSG00000108666"
"CYTH1"	"ENSG00000108669"
"PSMD11"	"ENSG00000108671"
"LGALS3BP"	"ENSG00000108679"
"PEX12"	"ENSG00000108733"
"DHX58"	"ENSG00000108771"
"KAT2A"	"ENSG00000108773"
"RAB5C"	"ENSG00000108774"
"NAGLU"	"ENSG00000108784"
"HSD17B1"	"ENSG00000108786"
"MLX"	"ENSG00000108788"
"CNTNAP1"	"ENSG00000108797"
"ABI3"	"ENSG00000108798"
"EZH1"	"ENSG00000108799"
"PPP1R9B"	"ENSG00000108819"
"COL1A1"	"ENSG00000108821"
"SGCA"	"ENSG00000108823"
"PTGES3L-AARSD1"	"ENSG00000108825"
"MRPL27"	"ENSG00000108826"
"VAT1"	"ENSG00000108828"
"LRRC59"	"ENSG00000108829"
"RND2"	"ENSG00000108830"
"HDAC5"	"ENSG00000108840"
"ABCC3"	"ENSG00000108846"
"LUC7L3"	"ENSG00000108848"
"SMURF2"	"ENSG00000108854"
"DUSP3"	"ENSG00000108861"
"EFTUD2"	"ENSG00000108883"
"HLF"	"ENSG00000108924"
"SLC16A6"	"ENSG00000108932"
"PRKAR1A"	"ENSG00000108946"
"FAM20A"	"ENSG00000108950"
"YWHAE"	"ENSG00000108953"
"MMD"	"ENSG00000108960"
"RANGRF"	"ENSG00000108961"
"DPH1"	"ENSG00000108963"
"MAP2K6"	"ENSG00000108984"
"DHRS7B"	"ENSG00000109016"
"WSB1"	"ENSG00000109046"
"RCVRN"	"ENSG00000109047"
"SLC9A3R1"	"ENSG00000109062"
"MYH3"	"ENSG00000109063"
"NAT9"	"ENSG00000109065"
"TMEM104"	"ENSG00000109066"
"TNFAIP1"	"ENSG00000109079"
"IFT20"	"ENSG00000109083"
"TMEM97"	"ENSG00000109084"
"PMP22"	"ENSG00000109099"
"UNC119"	"ENSG00000109103"
"ALDOC"	"ENSG00000109107"
"SUPT6H"	"ENSG00000109111"
"RAB34"	"ENSG00000109113"
"PHF12"	"ENSG00000109118"
"TMEM33"	"ENSG00000109133"
"GABRA4"	"ENSG00000109158"
"SLAIN2"	"ENSG00000109171"
"OCIAD1"	"ENSG00000109180"
"UGT2B10"	"ENSG00000109181"
"DCUN1D4"	"ENSG00000109184"
"USP46"	"ENSG00000109189"
"SULT1E1"	"ENSG00000109193"
"CHIC2"	"ENSG00000109220"
"NMU"	"ENSG00000109255"
"CRACD"	"ENSG00000109265"
"LAMTOR3"	"ENSG00000109270"
"NFKB1"	"ENSG00000109320"
"AREG"	"ENSG00000109321"
"MANBA"	"ENSG00000109323"
"UBE2D3"	"ENSG00000109332"
"MAPK10"	"ENSG00000109339"
"ELF2"	"ENSG00000109381"
"NDUFC1"	"ENSG00000109390"
"TBC1D9"	"ENSG00000109436"
"ZNF330"	"ENSG00000109445"
"INPP4B"	"ENSG00000109452"
"GAB1"	"ENSG00000109458"
"KLHL2"	"ENSG00000109466"
"RPL34"	"ENSG00000109475"
"GRPEL1"	"ENSG00000109519"
"GAR1"	"ENSG00000109534"
"FRG1"	"ENSG00000109536"
"CLCN3"	"ENSG00000109572"
"AADAT"	"ENSG00000109576"
"GALNT7"	"ENSG00000109586"
"DHX15"	"ENSG00000109606"
"SEPSECS"	"ENSG00000109618"
"TRIM2"	"ENSG00000109654"
"SLC2A9"	"ENSG00000109667"
"FBXW7"	"ENSG00000109670"
"NEIL3"	"ENSG00000109674"
"TBC1D19"	"ENSG00000109680"
"CLNK"	"ENSG00000109684"
"NSD2"	"ENSG00000109685"
"SH3D19"	"ENSG00000109686"
"STIM2"	"ENSG00000109689"
"MFSD10"	"ENSG00000109736"
"BST1"	"ENSG00000109743"
"RAPGEF2"	"ENSG00000109756"
"SNX25"	"ENSG00000109762"
"LRP2BP"	"ENSG00000109771"
"UFSP2"	"ENSG00000109775"
"KLF3"	"ENSG00000109787"
"KLHL5"	"ENSG00000109790"
"FAM149A"	"ENSG00000109794"
"NCAPG"	"ENSG00000109805"
"UGDH"	"ENSG00000109814"
"PPARGC1A"	"ENSG00000109819"
"DDX25"	"ENSG00000109832"
"HTATIP2"	"ENSG00000109854"
"CTSC"	"ENSG00000109861"
"CCDC34"	"ENSG00000109881"
"ZBTB16"	"ENSG00000109906"
"ELP4"	"ENSG00000109911"
"ZPR1"	"ENSG00000109917"
"MTCH2"	"ENSG00000109919"
"FNBP4"	"ENSG00000109920"
"SC5D"	"ENSG00000109929"
"CRTAM"	"ENSG00000109943"
"JHY"	"ENSG00000109944"
"B3GAT1"	"ENSG00000109956"
"HSPA8"	"ENSG00000109971"
"P2RX3"	"ENSG00000109991"
"VWA5A"	"ENSG00000110002"
"DNAJC4"	"ENSG00000110011"
"SIAE"	"ENSG00000110013"
"SNX15"	"ENSG00000110025"
"LPXN"	"ENSG00000110031"
"DTX4"	"ENSG00000110042"
"ATG2A"	"ENSG00000110046"
"EHD1"	"ENSG00000110047"
"OSBP"	"ENSG00000110048"
"UNC93B1"	"ENSG00000110057"
"PUS3"	"ENSG00000110060"
"DCPS"	"ENSG00000110063"
"KMT5B"	"ENSG00000110066"
"FOXRED1"	"ENSG00000110074"
"PPP6R3"	"ENSG00000110075"
"NRXN2"	"ENSG00000110076"
"MS4A6A"	"ENSG00000110077"
"MS4A4A"	"ENSG00000110079"
"ST3GAL4"	"ENSG00000110080"
"CPT1A"	"ENSG00000110090"
"CCND1"	"ENSG00000110092"
"CCDC86"	"ENSG00000110104"
"PRPF19"	"ENSG00000110107"
"TMEM109"	"ENSG00000110108"
"CHORDC1"	"ENSG00000110172"
"ANAPC15"	"ENSG00000110200"
"PANX1"	"ENSG00000110218"
"ARHGEF17"	"ENSG00000110237"
"CEP164"	"ENSG00000110274"
"RNF141"	"ENSG00000110315"
"CEP126"	"ENSG00000110318"
"EIF4G2"	"ENSG00000110321"
"IL10RA"	"ENSG00000110324"
"BIRC2"	"ENSG00000110330"
"UBE4A"	"ENSG00000110344"
"DDX6"	"ENSG00000110367"
"CBL"	"ENSG00000110395"
"NECTIN1"	"ENSG00000110400"
"HIPK3"	"ENSG00000110422"
"KIAA1549L"	"ENSG00000110427"
"FBXO3"	"ENSG00000110429"
"PDHX"	"ENSG00000110435"
"SLC1A2"	"ENSG00000110436"
"COMMD9"	"ENSG00000110442"
"SLC15A3"	"ENSG00000110446"
"CD5"	"ENSG00000110448"
"ACCS"	"ENSG00000110455"
"MDK"	"ENSG00000110492"
"AMBRA1"	"ENSG00000110497"
"MADD"	"ENSG00000110514"
"PTPMT1"	"ENSG00000110536"
"NAA40"	"ENSG00000110583"
"CARS1"	"ENSG00000110619"
"SLC22A18"	"ENSG00000110628"
"CD81"	"ENSG00000110651"
"SLC35F2"	"ENSG00000110660"
"C11orf21"	"ENSG00000110665"
"ELMOD1"	"ENSG00000110675"
"SOX6"	"ENSG00000110693"
"C11orf58"	"ENSG00000110696"
"PITPNM1"	"ENSG00000110697"
"RPS13"	"ENSG00000110700"
"AIP"	"ENSG00000110711"
"NUP98"	"ENSG00000110713"
"NDUFS8"	"ENSG00000110717"
"TCIRG1"	"ENSG00000110719"
"CHKA"	"ENSG00000110721"
"EXPH5"	"ENSG00000110723"
"HPS5"	"ENSG00000110756"
"GTF2H1"	"ENSG00000110768"
"POU2AF1"	"ENSG00000110777"
"PTPN5"	"ENSG00000110786"
"VWF"	"ENSG00000110799"
"PSMD9"	"ENSG00000110801"
"P3H3"	"ENSG00000110811"
"PPFIBP1"	"ENSG00000110841"
"PRPF40B"	"ENSG00000110844"
"CD69"	"ENSG00000110848"
"PRDM4"	"ENSG00000110851"
"CLEC2B"	"ENSG00000110852"
"COQ5"	"ENSG00000110871"
"SELPLG"	"ENSG00000110876"
"CORO1C"	"ENSG00000110880"
"CAPRIN2"	"ENSG00000110888"
"KCTD10"	"ENSG00000110906"
"SLC11A2"	"ENSG00000110911"
"MLEC"	"ENSG00000110917"
"MVK"	"ENSG00000110921"
"CSRNP2"	"ENSG00000110925"
"CAMKK2"	"ENSG00000110931"
"BIN2"	"ENSG00000110934"
"ATP5F1B"	"ENSG00000110955"
"PTGES3"	"ENSG00000110958"
"SYT10"	"ENSG00000110975"
"BCL7A"	"ENSG00000110987"
"RSRC2"	"ENSG00000111011"
"LIN7A"	"ENSG00000111052"
"KRT18"	"ENSG00000111057"
"ACSS3"	"ENSG00000111058"
"TNS2"	"ENSG00000111077"
"PPM1H"	"ENSG00000111110"
"METAP2"	"ENSG00000111142"
"LTA4H"	"ENSG00000111144"
"ELK3"	"ENSG00000111145"
"SLC6A12"	"ENSG00000111181"
"MAGOHB"	"ENSG00000111196"
"ITFG2"	"ENSG00000111203"
"FOXM1"	"ENSG00000111206"
"PRR4"	"ENSG00000111215"
"PRMT8"	"ENSG00000111218"
"PARP11"	"ENSG00000111224"
"ARPC3"	"ENSG00000111229"
"GPN3"	"ENSG00000111231"
"VPS29"	"ENSG00000111237"
"RAD51AP1"	"ENSG00000111247"
"SH2B3"	"ENSG00000111252"
"MANSC1"	"ENSG00000111261"
"KCNA1"	"ENSG00000111262"
"DUSP16"	"ENSG00000111266"
"CREBL2"	"ENSG00000111269"
"ACAD10"	"ENSG00000111271"
"ALDH2"	"ENSG00000111275"
"CDKN1B"	"ENSG00000111276"
"NAA25"	"ENSG00000111300"
"GSG1"	"ENSG00000111305"
"SCNN1A"	"ENSG00000111319"
"LTBR"	"ENSG00000111321"
"OGFOD2"	"ENSG00000111325"
"CDK2AP1"	"ENSG00000111328"
"OAS3"	"ENSG00000111331"
"OAS2"	"ENSG00000111335"
"ART4"	"ENSG00000111339"
"MGP"	"ENSG00000111341"
"RASAL1"	"ENSG00000111344"
"ARHGDIB"	"ENSG00000111348"
"GTF2H3"	"ENSG00000111358"
"EIF2B1"	"ENSG00000111361"
"DDX55"	"ENSG00000111364"
"SLC38A1"	"ENSG00000111371"
"SPRING1"	"ENSG00000111412"
"VDR"	"ENSG00000111424"
"FZD10"	"ENSG00000111432"
"RFC5"	"ENSG00000111445"
"STX2"	"ENSG00000111450"
"ADGRD1"	"ENSG00000111452"
"COPZ1"	"ENSG00000111481"
"TBC1D30"	"ENSG00000111490"
"CAND1"	"ENSG00000111530"
"RAB5B"	"ENSG00000111540"
"MDM1"	"ENSG00000111554"
"NUP107"	"ENSG00000111581"
"CNOT2"	"ENSG00000111596"
"TIMELESS"	"ENSG00000111602"
"CPSF6"	"ENSG00000111605"
"KRR1"	"ENSG00000111615"
"MRPL51"	"ENSG00000111639"
"GAPDH"	"ENSG00000111640"
"NOP2"	"ENSG00000111641"
"CHD4"	"ENSG00000111642"
"ACRBP"	"ENSG00000111644"
"UHRF1BP1L"	"ENSG00000111647"
"COPS7A"	"ENSG00000111652"
"ING4"	"ENSG00000111653"
"GNB3"	"ENSG00000111664"
"CDCA3"	"ENSG00000111665"
"CHPT1"	"ENSG00000111666"
"USP5"	"ENSG00000111667"
"TPI1"	"ENSG00000111669"
"GNPTAB"	"ENSG00000111670"
"SPSB2"	"ENSG00000111671"
"ENO2"	"ENSG00000111674"
"ATN1"	"ENSG00000111676"
"C12orf57"	"ENSG00000111678"
"PTPN6"	"ENSG00000111679"
"LPCAT3"	"ENSG00000111684"
"NT5DC3"	"ENSG00000111696"
"SLCO1B3"	"ENSG00000111700"
"NANOG"	"ENSG00000111704"
"SUDS3"	"ENSG00000111707"
"GOLT1B"	"ENSG00000111711"
"LDHB"	"ENSG00000111716"
"PRKAB1"	"ENSG00000111725"
"CMAS"	"ENSG00000111726"
"HCFC2"	"ENSG00000111727"
"ST8SIA1"	"ENSG00000111728"
"CLEC4A"	"ENSG00000111729"
"C2CD5"	"ENSG00000111731"
"AICDA"	"ENSG00000111732"
"RAB35"	"ENSG00000111737"
"PHC1"	"ENSG00000111752"
"COX6A1"	"ENSG00000111775"
"RFX4"	"ENSG00000111783"
"RIC8B"	"ENSG00000111785"
"SRSF9"	"ENSG00000111786"
""	"ENSG00000111788"
"FGFR1OP2"	"ENSG00000111790"
"KLRB1"	"ENSG00000111796"
"BTN3A3"	"ENSG00000111801"
"TDP2"	"ENSG00000111802"
"FRK"	"ENSG00000111816"
"DSE"	"ENSG00000111817"
"RWDD1"	"ENSG00000111832"
"RSPH4A"	"ENSG00000111834"
"MAK"	"ENSG00000111837"
"TMEM14C"	"ENSG00000111843"
"PAK1IP1"	"ENSG00000111845"
"GCNT2"	"ENSG00000111846"
"SMIM8"	"ENSG00000111850"
"NEDD9"	"ENSG00000111859"
"CEP85L"	"ENSG00000111860"
"ADTRP"	"ENSG00000111863"
"ASF1A"	"ENSG00000111875"
"MCM9"	"ENSG00000111877"
"FAM184A"	"ENSG00000111879"
"RNGTT"	"ENSG00000111880"
"MAN1A1"	"ENSG00000111885"
"GABRR2"	"ENSG00000111886"
"SERINC1"	"ENSG00000111897"
"HDDC2"	"ENSG00000111906"
"TPD52L1"	"ENSG00000111907"
"HINT3"	"ENSG00000111911"
"NCOA7"	"ENSG00000111912"
"RIPOR2"	"ENSG00000111913"
"SASH1"	"ENSG00000111961"
"UST"	"ENSG00000111962"
"ULBP1"	"ENSG00000111981"
"FBXO5"	"ENSG00000112029"
"MTRF1L"	"ENSG00000112031"
"PPARD"	"ENSG00000112033"
"OPRM1"	"ENSG00000112038"
"FANCE"	"ENSG00000112039"
"TULP1"	"ENSG00000112041"
"SLC26A8"	"ENSG00000112053"
"MAPK14"	"ENSG00000112062"
"RHAG"	"ENSG00000112077"
"KCTD20"	"ENSG00000112078"
"STK38"	"ENSG00000112079"
"SRSF3"	"ENSG00000112081"
"SOD2"	"ENSG00000112096"
"MRPL18"	"ENSG00000112110"
"MCM3"	"ENSG00000112118"
"RNF8"	"ENSG00000112130"
"PHACTR1"	"ENSG00000112137"
"MDGA1"	"ENSG00000112139"
"CILK1"	"ENSG00000112144"
"FBXO9"	"ENSG00000112146"
"CD83"	"ENSG00000112149"
"MDN1"	"ENSG00000112159"
"GLP1R"	"ENSG00000112164"
"SAYSD1"	"ENSG00000112167"
"BMP5"	"ENSG00000112175"
"BACH2"	"ENSG00000112182"
"TREML2"	"ENSG00000112195"
"ZNF451"	"ENSG00000112200"
"BAG2"	"ENSG00000112208"
"GPR63"	"ENSG00000112218"
"KHDRBS2"	"ENSG00000112232"
"FBXL4"	"ENSG00000112234"
"CCNC"	"ENSG00000112237"
"E2F3"	"ENSG00000112242"
"PTP4A1"	"ENSG00000112245"
"SIM1"	"ENSG00000112246"
"ASCC3"	"ENSG00000112249"
"BVES"	"ENSG00000112276"
"COL9A1"	"ENSG00000112280"
"MED23"	"ENSG00000112282"
"WASF1"	"ENSG00000112290"
"GPLD1"	"ENSG00000112293"
